src_rank,dst_rank,direction,msg_bytes,iters,avg_rtt_seconds,latency_seconds,bandwidth_MBps
0,6,a->b,16384,100,7.29322000097e-06,3.64661000049e-06,4492.94001766
0,6,b->a,16384,100,7.41715000004e-06,3.70857500002e-06,4417.86939725
0,6,a->b,32768,100,1.26060899993e-05,6.30304499964e-06,5198.75710896
0,6,b->a,32768,100,1.26429599982e-05,6.32147999909e-06,5183.5962472
0,6,a->b,65536,100,2.28643299988e-05,1.14321649994e-05,5732.59745669
0,6,b->a,65536,100,2.285712e-05,1.142856e-05,5734.4057344
0,6,a->b,131072,100,4.35836199995e-05,2.17918099997e-05,6014.73672915
0,6,b->a,131072,100,4.33875399995e-05,2.16937699997e-05,6041.91894731
0,6,a->b,262144,100,8.3594329999e-05,4.17971649995e-05,6271.81293285
0,6,b->a,262144,100,8.41472999991e-05,4.20736499996e-05,6230.59801093
0,6,a->b,524288,100,0.000160173899999,8.00869499994e-05,6546.48478939
0,6,b->a,524288,100,0.000160016290001,8.00081450006e-05,6552.93282947
0,6,a->b,1048576,100,0.000309791880002,0.000154895940001,6769.55122254
0,6,b->a,1048576,100,0.00030911717,0.000154558585,6784.32712101
0,6,a->b,2097152,100,0.000610812480002,0.000305406240001,6866.76211984
0,6,b->a,2097152,100,0.000614705799999,0.000307352899999,6823.27057921
0,6,a->b,4194304,100,0.00121430017,0.000607150085,6908.18317188
0,6,b->a,4194304,100,0.00121558706,0.00060779353,6900.86977398
0,6,a->b,8388608,100,0.00247859437,0.001239297185,6768.84293899
0,6,b->a,8388608,100,0.00249047885,0.001245239425,6736.5422517
0,6,a->b,16777216,100,0.00314394757,0.001571973785,10672.7072424
0,6,b->a,16777216,100,0.00314502986,0.00157251493,10669.0344746
0,6,a->b,33554432,100,0.00431922324,0.00215961162,15537.2529437
0,6,b->a,33554432,100,0.00434205331,0.002171026655,15455.5596647
0,7,a->b,1,100,1.82894000091e-06,9.14470000453e-07,1.0935295849
0,7,b->a,1,100,9.84900000276e-07,4.92450000138e-07,2.0306630109
0,7,a->b,2,100,9.85910000963e-07,4.92955000482e-07,4.05716545739
0,7,b->a,2,100,9.414200008e-07,4.707100004e-07,4.24890059336
0,7,a->b,4,100,9.5384000133e-07,4.76920000665e-07,8.38715087315
0,7,b->a,4,100,9.73889998477e-07,4.86944999238e-07,8.2144800876
0,7,a->b,8,100,9.58350001383e-07,4.79175000692e-07,16.6953617957
0,7,b->a,8,100,9.46729999214e-07,4.73364999607e-07,16.9002778123
0,7,a->b,16,100,9.56250000854e-07,4.78125000427e-07,33.4640522577
0,7,b->a,16,100,9.62560000062e-07,4.81280000031e-07,33.2446808489
0,7,a->b,32,100,1.10033000055e-06,5.50165000277e-07,58.1643688419
0,7,b->a,32,100,1.13560000045e-06,5.67800000226e-07,56.3578724679
0,7,a->b,64,100,1.28227999994e-06,6.41139999971e-07,99.8221917256
0,7,b->a,64,100,1.32496999868e-06,6.62484999339e-07,96.6059609861
0,7,a->b,128,100,1.38837999884e-06,6.94189999422e-07,184.387559755
0,7,b->a,128,100,1.36012999974e-06,6.8006499987e-07,188.217302794
0,7,a->b,256,100,1.47736000145e-06,7.38680000723e-07,346.564141103
0,7,b->a,256,100,1.363639999e-06,6.818199995e-07,375.4656657
0,7,a->b,512,100,1.86380999821e-06,9.31904999106e-07,549.412226022
0,7,b->a,512,100,1.61621999951e-06,8.08109999753e-07,633.577112221
0,7,a->b,1024,100,2.14565000078e-06,1.07282500039e-06,954.489315243
0,7,b->a,1024,100,1.75258999889e-06,8.76294999443e-07,1168.55625178
0,7,a->b,2048,100,2.99430000041e-06,1.4971500002e-06,1367.93240472
0,7,b->a,2048,100,2.41136999875e-06,1.20568499938e-06,1698.61945787
0,7,a->b,4096,100,3.77240000034e-06,1.88620000017e-06,2171.56187023
0,7,b->a,4096,100,3.68733999949e-06,1.84366999974e-06,2221.65571961
0,7,a->b,8192,100,4.59940000155e-06,2.29970000078e-06,3562.20376451
0,7,b->a,8192,100,4.80930000094e-06,2.40465000047e-06,3406.73278789
0,7,a->b,16384,100,7.40352999856e-06,3.70176499928e-06,4425.99678888
0,7,b->a,16384,100,7.4130400003e-06,3.70652000015e-06,4420.31878941
0,7,a->b,32768,100,1.28531699988e-05,6.42658499942e-06,5098.81998028
0,7,b->a,32768,100,1.29042599997e-05,6.45212999984e-06,5078.63294769
