src_rank,dst_rank,method,direction,locality,msg_bytes,iters,avg_rtt_seconds,latency_seconds,bandwidth_MBps,send_call_total_seconds
0,1,send,a->b,intranode,1024,100,1.84982999997e-06,9.24914999985e-07,1107.1287632,4.2971000255e-05
0,1,send,b->a,intranode,1024,100,1.74893000008e-06,8.74465000038e-07,1171.00169813,5.0049999885e-05
0,1,isend,a->b,intranode,1024,100,1.61507000001e-06,8.07535000007e-07,1268.0564929,3.97940000312e-05
0,1,isend,b->a,intranode,1024,100,1.59593999996e-06,7.97969999979e-07,1283.2562628,3.80070000574e-05
0,1,bsend,a->b,intranode,1024,100,1.79360999994e-06,8.96804999968e-07,1141.83127886,5.15079999275e-05
0,1,bsend,b->a,intranode,1024,100,1.83378999992e-06,9.16894999961e-07,1116.81272124,5.19470000881e-05
0,1,ssend,a->b,intranode,1024,100,2.07264000011e-06,1.03632000005e-06,988.111780094,0.000161337000094
0,1,ssend,b->a,intranode,1024,100,2.06122000009e-06,1.03061000004e-06,993.586322621,0.000160238000063
0,1,send,a->b,intranode,2048,100,3.13487e-06,1.567435e-06,1306.59325586,7.13870000482e-05
0,1,send,b->a,intranode,2048,100,2.22302999987e-06,1.11151499993e-06,1842.53024037,6.49269998974e-05
0,1,isend,a->b,intranode,2048,100,2.02905999998e-06,1.01452999999e-06,2018.66874318,5.47540000753e-05
0,1,isend,b->a,intranode,2048,100,1.9741600002e-06,9.87080000101e-07,2074.80649977,5.19090001205e-05
0,1,bsend,a->b,intranode,2048,100,2.19858999998e-06,1.09929499999e-06,1863.01220329,6.65489999392e-05
0,1,bsend,b->a,intranode,2048,100,2.23285000004e-06,1.11642500002e-06,1834.42685354,6.55709998227e-05
0,1,ssend,a->b,intranode,2048,100,2.24056999997e-06,1.12028499998e-06,1828.10624085,0.000135466999978
0,1,ssend,b->a,intranode,2048,100,2.32952999994e-06,1.16476499997e-06,1758.29459166,0.000156092000026
0,1,send,a->b,intranode,4096,100,4.51930999986e-06,2.25965499993e-06,1812.66609289,0.000173577000055
0,1,send,b->a,intranode,4096,100,3.23976999994e-06,1.61988499997e-06,2528.57455935,9.75519999997e-05
0,1,isend,a->b,intranode,4096,100,3.02575999996e-06,1.51287999998e-06,2707.41896255,9.20479999138e-05
0,1,isend,b->a,intranode,4096,100,2.98519000012e-06,1.49259500006e-06,2744.21393602,7.82090001508e-05
0,1,bsend,a->b,intranode,4096,100,3.06843999994e-06,1.53421999997e-06,2669.76052984,9.49280001237e-05
0,1,bsend,b->a,intranode,4096,100,3.11052000001e-06,1.55526e-06,2633.64324935,9.17909999885e-05
0,1,ssend,a->b,intranode,4096,100,3.20911000017e-06,1.60455500009e-06,2552.73268899,0.000193772999921
0,1,ssend,b->a,intranode,4096,100,3.25289000017e-06,1.62644500008e-06,2518.37596709,0.00019169099977
